game_id,event1,event2,event3,event4,event5,first_blood,blue_dragon,blue_tower_bot,blue_others,blue_adc_gp,blue_adc_wr,blue_adc_kda,red_dragon,red_tower_bot,red_others,red_adc_gp,red_adc_wr,red_adc_kda,winner
48620,first_blood,dragon,other,dragon,other,RED,0,0,2,9,0.78,5.12,2,0,0,4,0.5,5.0,RED
45053,dragon,other,first_blood,dragon,other,BLUE,0,0,0,0,0.0,0.0,2,0,2,0,0.0,0.0,RED
45054,first_blood,dragon,other,dragon,other,BLUE,1,0,2,1,1.0,6.5,1,0,0,0,0.0,0.0,BLUE
53258,dragon,other,first_blood,dragon,other,BLUE,2,0,0,14,0.64,6.26,0,0,2,9,0.67,6.85,BLUE
53259,first_blood,other,dragon,other,tower_bot,RED,1,1,0,19,0.42,5.0,0,0,2,14,0.64,6.26,RED
53260,first_blood,dragon,other,dragon,other,BLUE,0,0,0,0,0.0,0.0,2,0,2,6,0.67,4.14,BLUE
53263,first_blood,dragon,other,dragon,other,BLUE,1,0,1,6,0.83,14.83,1,0,1,6,0.33,1.64,BLUE
53264,first_blood,dragon,other,dragon,other,BLUE,2,0,2,6,0.5,9.56,0,0,0,7,0.43,4.58,BLUE
53265,first_blood,dragon,other,dragon,other,RED,1,0,0,7,0.57,8.57,1,0,2,6,0.5,9.56,RED
53266,first_blood,other,dragon,other,other,RED,0,0,3,3,0.67,9.0,1,0,0,6,0.33,1.64,RED
53268,first_blood,dragon,other,dragon,other,BLUE,2,0,2,21,0.48,5.33,0,0,0,0,0.0,0.0,BLUE
53269,dragon,other,first_blood,dragon,other,RED,1,0,1,3,0.33,2.77,1,0,1,10,0.7,3.61,RED
53270,first_blood,dragon,other,other,dragon,BLUE,1,0,2,21,0.48,5.33,1,0,0,0,0.0,0.0,BLUE
45061,first_blood,dragon,other,dragon,other,RED,1,0,2,0,0.0,0.0,1,0,0,0,0.0,0.0,BLUE
53253,first_blood,dragon,other,dragon,other,RED,0,0,1,12,0.5,7.56,2,0,1,4,0.75,14.67,RED
53254,first_blood,dragon,other,dragon,other,BLUE,1,0,1,9,0.44,10.0,1,0,1,9,0.33,5.59,BLUE
53255,first_blood,dragon,other,dragon,other,BLUE,2,0,2,9,0.33,5.59,0,0,0,9,0.44,10.0,BLUE
